지점,일시,평균기온(°C),평균최고기온(°C),평균최저기온(°C),최고기온(°C),최저기온(°C),최고기온 나타난날(yyyymmdd),최저기온 나타난날(yyyymmdd),평균현지기압(hPa),평균해면기압(hPa),최고해면기압(hPa),최저해면기압(hPa),최고해면기압 나타난날(yyyymmdd),최저해면기압 나타난날(yyyymmdd),평균수증기압(hPa),최고수증기압(hPa),최저수증기압(hPa),최고수증기압 나타난날(yyyymmdd),최저수증기압 나타난날(yyyymmdd),평균이슬점온도(°C),평균상대습도(%),최소상대습도(%),최소상대습도 나타난날(yyyymmdd),월합강수량(00~24h만)(mm),일최다강수량(mm),1시간최다강수량(mm),10분최다강수량(mm),일최다강수량 나타난날(yyyymmdd),1시간최다강수량 나타난날(yyyymmdd),10분최다강수량 나타난날(yyyymmdd),소형총증발량(mm),소형일최대증발량(mm),대형총증발량(mm),대형일최대증발량(mm),소형일최대증발량 나타난날(yyyymmdd),대형일최대증발량 나타난날(yyyymmdd),평균풍속(m/s),최대풍속(m/s),최대순간풍속(m/s),최대풍속 풍향(16방위),최대순간풍속 풍향(16방위),최대풍속 나타난날(yyyymmdd),최대순간풍속 나타난날(yyyymmdd),평균운량(1/10),평균중하층운량(1/10),합계 일조시간(hr),일조율(%),합계 일사량(MJ/m2),최심적설(cm),최심신적설(cm),3시간신적설합(cm),최심적설 나타난날(yyyymmdd),최심신적설 나타난날(yyyymmdd),평균 최저초상온도(°C),최저초상온도(°C),최저초상온도 나타난날(yyyymmdd),평균지면온도(°C),0.05m평균지중온도(°C),0.1m평균지중온도(°C),0.2m평균지중온도(°C),0.3m평균지중온도(°C),0.5m평균지중온도(°C),1.0m평균지중온도(°C),1.5m평균지중온도(°C),3.0m평균지중온도(°C),5.0m평균지중온도(°C)
159,2021-01,3.3,7.9,-0.8,15.7,-12.2,20210115,20210108,1013.9,1022.6,1032.5,1007.9,20210103,20210128,4.5,13.2,0.7,20210122,20210107,-6.9,50,14,20210117,25.8,17.4,,,20210126,,,80.3,4.3,56.2,3,20210116,20210116,3.2,11.8,20.8,250,270,20210128,20210128,3.5,1.9,201.5,66.48,318.28,,,,,,-5.9,-14.5,20210108,4.8,4.2,4.6,5.1,5.8,6.1,10.1,12.7,16.7,19.2
159,2021-02,7.2,11.9,3.2,19.3,-7.2,20210221,20210218,1010.9,1019.4,1030.2,1003.2,20210227,20210215,5.8,14.7,1.1,20210214,20210217,-3.3,51,14,20210223,49.5,22.9,,,20210201,,,108.9,6,76.3,4.2,20210222,20210222,3.7,12.1,22.5,270,250,20210215,20210215,3.6,1.8,204.8,66.95,393.23,,,,,,-1.2,-9.2,20210218,9,7.9,7.7,7.7,8,7.8,9.8,11.6,15,18.2
159,2021-03,11.4,15.9,7.7,21.6,1.6,20210330,20210303,1010.1,1018.5,1032.1,1000.8,20210303,20210328,8.6,16.8,2.8,20210328,20210322,4.2,64,14,20210330,127.5,37.8,,,20210301,,,131,7,91.6,4.9,20210330,20210330,3.3,11.3,20.7,200,180,20210328,20210327,5.1,2.8,215.3,57.97,515.26,,,,,,3.7,-3,20210308,14,12.6,12.1,11.9,11.7,11.5,11.5,12.1,14,17.2
159,2021-04,14.7,19.7,10.8,26.5,6.3,20210422,20210405,1009.3,1017.6,1032.4,1001,20210410,20210430,9.4,18.5,2.5,20210404,20210417,5.4,56,11,20210417,107.1,39.5,14.3,4.6,20210403,20210403,20210403,181,9.6,126.8,6.7,20210419,20210419,3.4,12.9,21.5,230,200,20210430,20210430,4.8,2.7,242.8,61.83,646.07,,,,,,7.5,1.2,20210415,20.1,17.4,16.6,16.1,15.7,15.8,14.3,14,13.8,16.5
159,2021-05,17.7,21.5,14.7,26.5,8.6,20210523,20210502,1000.7,1008.9,1019.7,997.3,20210503,20210528,13.7,24,4.6,20210516,20210525,10.9,68,18,20210505,139.2,45.1,17.4,8.7,20210516,20210516,20210516,164.9,9.2,115.5,6.4,20210505,20210505,3.5,14.8,21.1,230,230,20210528,20210528,6,3.6,190.8,43.9,585.96,,,,,,11.3,4.4,20210506,22.1,20.1,19.5,19.1,18.8,19.1,17.1,16.1,14.4,16.3
159,2021-06,21.9,25.4,19.3,30.9,16.6,20210621,20210601,999.7,1007.7,1016.4,997.7,20210609,20210604,19.7,26.6,10.1,20210613,20210601,17.1,76,29,20210601,232.3,82.6,12.8,3.3,20210611,20210611,20210611,165.9,8.7,116.1,6.1,20210621,20210621,2.6,9.4,13.1,250,50,20210605,20210616,6.1,3.4,208,47.89,630.93,,,,,,15.9,12.5,20210607,27.9,25.3,24.3,23.6,23,23.3,20.5,18.9,15.6,16.5
159,2021-07,26.3,29.5,24,32.4,20.8,20210720,20210705,1000.2,1008,1015.5,998.6,20210716,20210731,27.2,33.6,17.5,20210731,20210701,22.4,80,48,20210729,399.9,137.5,45.5,13.4,20210707,20210707,20210707,170,8.2,118.8,5.7,20210720,20210720,3.2,14.6,24.6,230,200,20210704,20210704,6.5,3.9,193.8,43.84,603.76,,,,,,21.6,18.7,20210701,30.9,29.3,28.3,27.4,26.7,27.4,24.3,22.4,17.7,17.4
159,2021-08,26.2,29.4,23.8,35.6,20.4,20210806,20210817,999.8,1007.6,1015.4,997.2,20210830,20210809,27.7,35.2,20.5,20210801,20210830,22.7,82,50,20210806,481.2,146.2,70.2,19.6,20210825,20210825,20210808,142.8,8.1,100.1,5.7,20210805,20210805,3,18,29.7,200,200,20210824,20210821,7,3.9,154.4,37.03,500.44,,,,,,21.1,17.4,20210820,29.6,28.5,28,27.4,27.1,28.3,26.2,24.5,19.5,18.6
159,2021-09,22.9,26.4,20.5,28.8,18.9,20210912,20210927,1004.4,1012.4,1022.1,1001.2,20210925,20210917,21.8,30.6,13.7,20210907,20210923,18.8,79,40,20210923,164.7,50.1,16.8,9.4,20210917,20210930,20210930,109.7,6.2,77,4.4,20210923,20210923,3,9.4,19.6,230,70,20210921,20210917,7.3,4.3,95.2,26.47,367.94,,,,,,17.9,14.2,20210924,24.9,24.2,24.4,24.3,24.4,25.8,25.3,24.6,20.9,19.9
159,2021-10,18.7,23.3,15.2,28.4,5.5,20211010,20211017,1011,1019.2,1027,1006.1,20211023,20211001,15.3,27.2,4.2,20211010,20211017,12,67,17,20211026,18.2,8.5,2.4,0.6,20211016,20211021,20211021,132.3,5.7,92.5,4,20211027,20211027,2.6,9.6,16.1,230,340,20211004,20211016,3.9,2.4,215.9,61.62,453.21,,,,,,10.9,2.5,20211018,20.7,20.1,20.5,20.5,20.9,22.2,23.3,23.3,20.9,20.4
